token;frequency
<start-of-song>;5000
a;24730
a#;75
a#/a;2
a#/c#;2
a#/g;2
a#/g#;2
a#5;7
a#7;2
a#dim;18
a#dim7;1
a#m;31
a#m7b5;6
a/b;45
a/bb;2
a/c;2
a/c#;502
a/d;89
a/e;116
a/f;13
a/f#;5
a/g;51
a/g#;75
a0;66
a003p2p033p2p0;1
a0130;1
a02;1
a1;1
a10;2
a11;6
a13;7
a13b9;1
a2;89
a2/c#;4
a3;52
a4;14
a5;428
a5add;21
a6;86
a6/b;1
a6add9;14
a6sus2;5
a7;2026
a7#5;1
a7/c#;9
a7/d;4
a7/e;18
a7/g;14
a75;3
a7add11;4
a7add13;2
a7b5;1
a7b9;9
a7m;11
a7sus;12
a7sus2;19
a7sus2/e;1
a7sus4;354
a7sus4/e;2
a8;1
a9;112
a9pause;1
a9sus4;4
aa/e;2
aaa;2
aaad9;1
aadd#11;2
aadd11;17
aadd9;178
aadd9/c#;8
aadd9/e;2
aahaahaah;1
aaug;25
ab;1007
ab/bb;20
ab/c;13
ab/eb;18
ab/f;2
ab/g;4
ab/gb;1
ab13;8
ab4;5
ab5;75
ab6;4
ab6/bb;18
ab6sus2;2
ab7;76
ab7/c;2
ab7sus4;5
ab9;1
abadd4;1
abadd9;9
abaug;1
abdim;1
abdim7;6
abm;33
abm6;8
abm7;28
abm7b5;3
abmaj13;9
abmaj7;50
abmaj7/bb;14
abmaj9;10
above;1
absus2;3
absus4;1
actually;1
ad;1
add;4
add11/b;1
adim;11
adim7;4
ae;1
aed;3
after;1
again;1
all;1
alone;5
also;1
alternate;3
alternates;1
am;26400
am/b;37
am/c;61
am/d;22
am/e;125
am/f;13
am/f#;29
am/g;190
am/g#;2
am11;4
am6;34
am7;3260
am7/b;4
am7/c;6
am7/cb;3
am7/d;22
am7/e;15
am7/f;4
am7/g;89
am7add11;4
am7add9;9
am7b5;19
am9;45
am9/ab;1
am9/g;1
am9/gb;1
amadd9;8
amaj7;375
amaj7/b;7
amaj7no7;5
amaj7sus2;5
amaj9;36
amd;7
amg;3
amii;11
ammaj7;31
ammaj9;6
an;1
ano6;5
are;3
arpeggiate;1
as;2
ashort;1
asus;100
asus/db;1
asus2;1287
asus2/b;1
asus2/c;21
asus2/d;13
asus2/e;44
asus2/f;1
asus2/f#;53
asus2/g;44
asus4;984
asus4#5/e;5
asus4/e;4
asus4/g;1
aye;1
a  dm g c;1
a                 d;1
b;6846
b#m;1
b/a;15
b/c;1
b/d#;85
b/e;27
b/e#;1
b/eb;19
b/f#;52
b/f#7;9
b0;4
b1;1
b11;24
b13;3
b2;24
b3;42
b4;1
b5;309
b5/f#;2
b6;5
b7;1720
b7#5;7
b7#9;2
b7/d#;25
b7/eb;1
b7/f#;18
b75;8
b7>;1
b7b13;23
b7b5b9;3
b7b9;7
b7open;1
b7sus;26
b7sus2;5
b7sus4;64
b9;22
b9/c;3
b911;2
b9sus;5
babadabada;1
back;1
background;2
badd11;34
badd11/a;6
badd4/e;1
badd9;5
bahbuppabah;2
bar;7
bars;1
basic;1
bass;13
baug;2
bb;4545
bb/a;24
bb/ab;9
bb/c;80
bb/d;66
bb/eb;2
bb/f;45
bb/g;2
bb2;11
bb5;216
bb6;14
bb6/d;1
bb6sus2;2
bb7;120
bb7#9;6
bb7/f;1
bb7b5;1
bb9;33
bb9b5;4
bbadd9;1
bbadd9/d;1
bbaug;10
bbdim;22
bbdim7;20
bbm;414
bbm/ab;3
bbm/db;3
bbm6;35
bbm6/db;3
bbm7;43
bbm7/db;1
bbm7b5;2
bbmaj;4
bbmaj7;160
bbmaj7/f;1
bbmaj7b5;8
bbmb5;1
bbmmaj9;1
bbreak;1
bbsus;4
bbsus2;81
bbsus2/f;1
bbsus4;3
bbsus4/eb;9
bdim;27
bdim7;27
beats;5
begins;1
berharap;1
between;2
bm;10664
bm/a;104
bm/ab;1
bm/bb;1
bm/d;11
bm/e;3
bm/f#;31
bm/g;16
bm/g#;9
bm11/e;40
bm6;15
bm7;1648
bm7#5;1
bm7/a;24
bm7/e;32
bm7/f#;4
bm75;4
bm7add11;17
bm7b5;60
bm9;18
bm9/d;13
bmadd11;32
bmadd11/a;13
bmadd11/d;22
bmadd11/g#;7
bmadd4;4
bmadd9;6
bmaj7;67
bmaj7/c;3
bmb5/a;4
bmb5add11;1
bmbsus4b;1
bmmaj7;4
bmsus4;18
breakdown;1
briefly;2
bsus;30
bsus/f#;5
bsus2;126
bsus2/f#;1
bsus4;200
bsus4/f#;2
build;1
building;1
by;1
c;49216
c#;434
c#/a;1
c#/a#;3
c#/b;4
c#/d;6
c#/e#;14
c#/f#;3
c#/g#;12
c#13;2
c#4/e;1
c#5;81
c#7;117
c#7/e#;9
c#7/f;8
c#7/g#;7
c#7sus;2
c#7sus2;23
c#9#5;1
c#9/f;4
c#aug;2
c#aug/e#;1
c#dim;52
c#dim/g;8
c#dim7;8
